names,min_players,max_players,avg_time,year,avg_rating,image_url,age,category,designer
Gloomhaven,1,4,120,2017,8.98893,https://cf.geekdo-images.com/original/img/lDN358RgcYvQfYYN6Oy2TXpifyM=/0x0/pic2437871.jpg,12,"Adventure, Exploration, Fantasy, Fighting, Miniatures",Isaac Childres
Pandemic Legacy: Season 1,2,4,60,2015,8.6614,https://cf.geekdo-images.com/original/img/P_SwsOtPLqgk2ScCgI2YrI9Rg6I=/0x0/pic2452831.png,13,"Environmental, Medical","Rob Daviau, Matt Leacock"
Through the Ages: A New Story of Civilization,2,4,240,2015,8.60673,https://cf.geekdo-images.com/original/img/1d2h-kr4r_9xsss2Br6iMvjR9q0=/0x0/pic2663291.jpg,14,"Card Game, Civilization, Economic",Vlaada Chvátil
Terraforming Mars,1,5,120,2016,8.38461,https://cf.geekdo-images.com/original/img/o8z_levBVArPUKI7ZrIysZEs1A0=/0x0/pic3536616.jpg,12,"Economic, Environmental, Industry / Manufacturing, Science Fiction, Territory Building",Jacob Fryxelius
Twilight Struggle,2,2,180,2005,8.33954,https://cf.geekdo-images.com/original/img/ZPnnm7v2RTJ6fAZeeseA5WbC9DU=/0x0/pic361592.jpg,13,"Modern Warfare, Political, Wargame","Ananda Gupta, Jason Matthews"
Star Wars: Rebellion,2,4,240,2016,8.47439,https://cf.geekdo-images.com/original/img/QT959HnYmUxmUqSMp0V7LxF1-tA=/0x0/pic2737530.png,14,"Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame",Corey Konieczka
Scythe,1,5,115,2016,8.29158,https://cf.geekdo-images.com/original/img/enxCZt0Cn78-rlvmPvGtOej1ios=/0x0/pic3163924.jpg,14,"Civilization, Economic, Fighting, Miniatures, Science Fiction, Territory Building",Jamey Stegmaier
Terra Mystica,2,5,150,2012,8.23703,https://cf.geekdo-images.com/original/img/CynjY3GgwPTg34abNIv8eLX1pXs=/0x0/pic1356616.jpg,12,"Civilization, Economic, Fantasy, Territory Building","Jens Drögemüller, Helge Ostertag"
Great Western Trail,2,4,150,2016,8.28574,https://cf.geekdo-images.com/original/img/U3RnjWjCHNkm4LVps_HNDHeuUI4=/0x0/pic3113247.jpg,12,American West,Alexander Pfister
The 7th Continent,1,4,1000,2017,8.67228,https://cf.geekdo-images.com/original/img/iQDBaRJ2LxJba_M7gPZj24eHwBc=/0x0/pic2648303.jpg,14,"Adventure, Card Game, Exploration, Horror, Science Fiction","Ludovic Roudy, Bruno Sautter"
Gaia Project,1,4,150,2017,8.68217,https://cf.geekdo-images.com/original/img/FpQ2ODFHSgDGfEpskL0Uu2xyYMA=/0x0/pic3763556.jpg,12,"Civilization, Economic, Science Fiction, Territory Building","Jens Drögemüller, Helge Ostertag"
The Castles of Burgundy,2,4,90,2011,8.12383,https://cf.geekdo-images.com/original/img/w3EsrbF6-Gvr5_qBeF7YL1Rslnk=/0x0/pic1176894.jpg,12,"Dice, Medieval, Territory Building",Stefan Feld
7 Wonders Duel,2,2,30,2015,8.14559,https://cf.geekdo-images.com/original/img/M6wL1YFgW-PsdtJ328m2QiJf1K8=/0x0/pic3376065.jpg,10,"Ancient, Card Game, City Building, Civilization","Antoine Bauza, Bruno Cathala"
War of the Ring (Second Edition),2,4,180,2012,8.37781,https://cf.geekdo-images.com/original/img/sAJOZ0c2_gZqXjn2npRgpFvshKo=/0x0/pic1215633.jpg,13,"Adventure, Fantasy, Fighting, Miniatures, Novel-based, Territory Building, Wargame","Roberto Di Meglio, Marco Maggi, Francesco Nepitello"
Caverna: The Cave Farmers,1,7,210,2013,8.1177,https://cf.geekdo-images.com/original/img/xLuIh5VNsD57GXfcBox_ZF1jH4o=/0x0/pic1790789.jpg,12,"Animals, Economic, Fantasy, Farming",Uwe Rosenberg
Puerto Rico,2,5,150,2002,8.06034,https://cf.geekdo-images.com/original/img/RvdWBkmDks7AN8sodR4PyVcponA=/0x0/pic158548.jpg,12,"City Building, Economic, Farming",Andreas Seyfarth
Agricola,1,5,150,2007,8.02172,https://cf.geekdo-images.com/original/img/L-UBO3rBOmvIrZHZLSXOypyAUPw=/0x0/pic259085.jpg,12,"Animals, Economic, Farming",Uwe Rosenberg
Mage Knight Board Game,1,4,240,2011,8.11816,https://cf.geekdo-images.com/original/img/AGyvx6NYd6Kq4HUztAObQVLEFWY=/0x0/pic1083380.jpg,14,"Adventure, Exploration, Fantasy, Fighting",Vlaada Chvátil
Viticulture Essential Edition,1,6,90,2015,8.17385,https://cf.geekdo-images.com/original/img/6KQbzbjV6HlxDZeqPwmrmR3gn6w=/0x0/pic2649952.jpg,13,"Economic, Farming","Morten Monrad Pedersen, Jamey Stegmaier, Alan Stone"
Arkham Horror: The Card Game,1,2,120,2016,8.2564,https://cf.geekdo-images.com/original/img/EQ0Kl-bH9RCI5aJWVLnAlAfo00E=/0x0/pic3122349.jpg,14,"Adventure, Card Game, Collectible Components, Fantasy, Horror, Novel-based","Nate French, Matthew Newman"
Mansions of Madness: Second Edition,1,5,180,2016,8.20129,https://cf.geekdo-images.com/original/img/0jncNnMHVZqa4u3oMwVm2Zn84q8=/0x0/pic3118622.jpg,14,"Adventure, Exploration, Fantasy, Fighting, Horror, Miniatures, Murder/Mystery, Puzzle",Nikki Valens
Concordia,2,5,100,2013,8.07072,https://cf.geekdo-images.com/original/img/abKLQBfHHaouqsLx7GGiIzqXBu8=/0x0/pic3453267.jpg,13,"Ancient, Economic, Nautical",Mac Gerdts
Blood Rage,2,4,90,2015,8.07481,https://cf.geekdo-images.com/original/img/p4IovYzLVXqxY40lbGUu92VxaIQ=/0x0/pic2439223.jpg,14,"Fantasy, Fighting, Miniatures, Mythology",Eric M. Lang
Mechs vs. Minions,2,4,90,2016,8.21731,https://cf.geekdo-images.com/original/img/WhHdMb8GiMY-RhHddEByDyPkrWo=/0x0/pic3184103.jpg,14,"Fantasy, Fighting, Miniatures, Video Game Theme","Chris Cantrell, Rick Ernst, Stone Librande, Prashant Saraswat, Nathan Tiras"
Star Wars: Imperial Assault,2,5,120,2014,8.13522,https://cf.geekdo-images.com/original/img/wWTlEaPbVoUybefxFpFVTv1OU74=/0x0/pic2247647.jpg,14,"Adventure, Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame","Justin Kemppainen, Corey Konieczka, Jonathan Ying"
Orléans,2,4,90,2014,8.07954,https://cf.geekdo-images.com/original/img/RLjWKyzXimMFiQOa8uwo9ZWWOGM=/0x0/pic2578828.png,12,"Medieval, Religious, Travel",Reiner Stockhausen
Through the Ages: A Story of Civilization,2,4,240,2006,8.02876,https://cf.geekdo-images.com/original/img/xeBBIO9BN7HGMxQdTw5zk5Hxou8=/0x0/pic236169.jpg,12,"Civilization, Economic",Vlaada Chvátil
Food Chain Magnate,2,5,240,2015,8.22008,https://cf.geekdo-images.com/original/img/wYRsC32bPDRShIYzWs2hUglfcTc=/0x0/pic2649434.png,14,"Economic, Industry / Manufacturing","Jeroen Doumen, Joris Wiersinga"
Power Grid,2,6,120,2004,7.91299,https://cf.geekdo-images.com/original/img/_3ewTndfCEMACKeTMPnREyvyX60=/0x0/pic173153.jpg,12,"Economic, Industry / Manufacturing",Friedemann Friese
A Feast for Odin,1,4,120,2016,8.18983,https://cf.geekdo-images.com/original/img/h0P5NRuVBu0GuDrJo7CHAiSJo3U=/0x0/pic3146943.png,12,"Economic, Industry / Manufacturing, Medieval, Puzzle",Uwe Rosenberg
Twilight Imperium: Fourth Edition,3,6,480,2017,8.90337,https://cf.geekdo-images.com/original/img/Xe0YAmobS_L0Nlo4YJgyFwOW9EM=/0x0/pic3727516.jpg,14,"Civilization, Economic, Negotiation, Political, Science Fiction, Space Exploration, Wargame","Dane Beltrami, Corey Konieczka, Christian T. Petersen"
Eclipse,2,6,200,2011,7.97402,https://cf.geekdo-images.com/original/img/583Qqo-5M56np8LqnFKcCuUfn7A=/0x0/pic1974056.jpg,14,"Civilization, Fighting, Science Fiction, Space Exploration, Wargame",Touko Tahkokallio
Pandemic Legacy: Season 2,2,4,60,2017,8.46509,https://cf.geekdo-images.com/original/img/DbXh4TeZPoJ_tSlX2KRGdVcBd8s=/0x0/pic3763549.jpg,14,"Environmental, Exploration, Medical","Rob Daviau, Matt Leacock"
Kingdom Death: Monster,1,6,180,2015,8.89537,https://cf.geekdo-images.com/original/img/AtA42fNGhdthAAP3Y5QZiwlFcv8=/0x0/pic2931007.jpg,17,"Adventure, Fantasy, Horror, Mature / Adult, Miniatures, Mythology",Adam Poots
Brass: Lancashire,2,4,180,2007,8.01122,https://cf.geekdo-images.com/original/img/l4dwCcl4Vz0r4TD-2RgQ_uoHvWM=/0x0/pic3469216.jpg,14,"Economic, Industry / Manufacturing, Transportation",Martin Wallace
Robinson Crusoe: Adventures on the Cursed Island,1,4,120,2012,7.95554,https://cf.geekdo-images.com/original/img/i1d3Zbbw5iYJ5_Bd0unqwgM8CI0=/0x0/pic3165731.jpg,14,"Adventure, Exploration, Fighting, Novel-based",Ignacy Trzewiczek
Le Havre,1,5,150,2008,7.91345,https://cf.geekdo-images.com/original/img/Fs2MqRUBPQzORmEZbiVqSnBvHDg=/0x0/pic3330230.jpg,12,"City Building, Economic, Industry / Manufacturing, Nautical",Uwe Rosenberg
Tzolk'in: The Mayan Calendar,2,4,90,2012,7.93022,https://cf.geekdo-images.com/original/img/b_3SHZiUpcmrIT5hU8wVF0SDX8k=/0x0/pic1413480.jpg,13,"Ancient, Civilization, Economic, Farming, Mythology","Simone Luciani, Daniele Tascini"
Android: Netrunner,2,2,45,2012,7.92234,https://cf.geekdo-images.com/original/img/Wbp__Fl6QDKqzealhK2SDpoEk_g=/0x0/pic3738560.jpg,14,"Bluffing, Card Game, Collectible Components, Science Fiction","Richard Garfield, Lukas Litzsinger"
The Voyages of Marco Polo,2,4,100,2015,7.96457,https://cf.geekdo-images.com/original/img/ewdBaa31ROM_gOmpYwp4xszuAHk=/0x0/pic2461346.png,12,"Dice, Economic, Medieval, Travel","Simone Luciani, Daniele Tascini"
Azul,2,4,45,2017,8.01887,https://cf.geekdo-images.com/original/img/9-SR48jyfxs4At6255sjHoly2sw=/0x0/pic3718275.jpg,8,Abstract Strategy,Michael Kiesling
7 Wonders,2,7,30,2010,7.80273,https://cf.geekdo-images.com/original/img/3DP_RW5lTX0WrV67s8qi8CsiXoQ=/0x0/pic860217.jpg,10,"Ancient, Card Game, City Building, Civilization",Antoine Bauza
Keyflower,2,6,120,2012,7.88728,https://cf.geekdo-images.com/original/img/t6AnEi2l5tiHgWRjglwSfRsYy6E=/0x0/pic2278942.jpg,12,"City Building, Economic, Nautical, Renaissance, Territory Building","Sebastian Bleasdale, Richard Breese"
Codenames,2,8,15,2015,7.78988,https://cf.geekdo-images.com/original/img/MJ6MNz8-_rb1C2VUTnYBTYOiiy0=/0x0/pic2582929.jpg,14,"Card Game, Deduction, Party Game, Spies/Secret Agents, Word Game",Vlaada Chvátil
Spirit Island,1,4,120,2017,8.4231,https://cf.geekdo-images.com/original/img/RmP2yBDA0LE-ZFWrEXAkgRuYjn0=/0x0/pic3615739.png,13,"Age of Reason, Environmental, Fantasy, Fighting, Mythology, Renaissance, Territory Building",R. Eric Reuss
Caylus,2,5,150,2005,7.82987,https://cf.geekdo-images.com/original/img/90BzC8_Dgc9uDswnZsu7Qa3oHvI=/0x0/pic1638795.jpg,12,"City Building, Economic, Medieval",William Attia
Eldritch Horror,1,8,240,2013,7.9131,https://cf.geekdo-images.com/original/img/i0zxc-H4TlTFB-yE1v4gcLy3XfY=/0x0/pic1872452.jpg,14,"Adventure, Fantasy, Fighting, Horror, Novel-based","Corey Konieczka, Nikki Valens"
T.I.M.E Stories,2,4,240,2015,7.8835,https://cf.geekdo-images.com/original/img/HgvRM7737qYJn6nFvfZ5IlSf800=/0x0/pic2617634.png,12,"Adventure, Mature / Adult, Puzzle, Science Fiction","Peggy Chassenet, Manuel Rozoy"
Race for the Galaxy,2,4,60,2007,7.76608,https://cf.geekdo-images.com/original/img/-2F-mPR0ssTm2IAsMAvnZzR0dn4=/0x0/pic236327.jpg,12,"Card Game, Civilization, Economic, Science Fiction, Space Exploration",Thomas Lehmann
Twilight Imperium (Third Edition),3,6,240,2005,7.89524,https://cf.geekdo-images.com/original/img/60YjBskGAQNmZP7sedVoXneBjZg=/0x0/pic4128153.jpg,14,"Civilization, Negotiation, Political, Science Fiction, Space Exploration, Wargame",Christian T. Petersen
Lords of Waterdeep,2,5,120,2012,7.78071,https://cf.geekdo-images.com/original/img/PTVnjG9ersdKq6feZTpq5SkiPPw=/0x0/pic1116080.jpg,12,"City Building, Fantasy","Peter Lee, Rodney Thompson"
Five Tribes,2,4,80,2014,7.79888,https://cf.geekdo-images.com/original/img/ysxyEQPPbio1xvtx56l_8P8BkYs=/0x0/pic2055255.jpg,13,"Animals, Arabian, Fantasy, Mythology",Bruno Cathala
Dominant Species,2,6,240,2010,7.84068,https://cf.geekdo-images.com/original/img/dpHznpiPiv8biNvE_P9RCkXaOx4=/0x0/pic784193.jpg,14,"Animals, Environmental, Prehistoric",Chad Jensen
Rising Sun,3,5,120,2018,8.19132,https://cf.geekdo-images.com/original/img/B_QnVCi18kIQBPNajLjJkpXpW2s=/0x0/pic3880340.jpg,14,"Bluffing, Fantasy, Miniatures, Mythology, Negotiation, Wargame",Eric M. Lang
Fields of Arle,1,2,120,2014,8.17292,https://cf.geekdo-images.com/original/img/xlgiqGRKx6LZuhjh5iR-dtbMrJQ=/0x0/pic2225968.png,13,"Economic, Farming, Industry / Manufacturing",Uwe Rosenberg
El Grande,2,5,120,1995,7.78817,https://cf.geekdo-images.com/original/img/M3EB6PPPhdhwXaEZyr1335o_3lQ=/0x0/pic180538.jpg,12,Renaissance,"Wolfgang Kramer, Richard Ulrich"
Patchwork,2,2,30,2014,7.76056,https://cf.geekdo-images.com/original/img/Z8MYZktgvGTtIikMv9HSpD_ERAI=/0x0/pic2270442.jpg,8,"Abstract Strategy, Puzzle",Uwe Rosenberg
Clans of Caledonia,1,4,120,2017,8.13711,https://cf.geekdo-images.com/original/img/wMBrwd-ZnHVV_XvVT3Tc6LtD0Ng=/0x0/pic3511783.png,12,Economic,Juma Al-JouJou
Dominion: Intrigue,2,4,30,2009,7.76244,https://cf.geekdo-images.com/original/img/r0aALn-3X6WgRcnDqVxbxGSG0tw=/0x0/pic460011.jpg,13,"Card Game, Medieval",Donald X. Vaccarino
Roll for the Galaxy,2,5,45,2014,7.77702,https://cf.geekdo-images.com/original/img/SBmipyinTpLle9HmAfE0jJWKj3I=/0x0/pic1473629.jpg,13,"Civilization, Dice, Economic, Science Fiction, Space Exploration","Wei-Hwa Huang, Thomas Lehmann"
Clank!: A Deck-Building Adventure,2,4,60,2016,7.878,https://cf.geekdo-images.com/original/img/MfZd82Kty4dFb6_hWj_OR03fzZI=/0x0/pic3056966.jpg,12,"Adventure, Fantasy",Paul Dennen
Battlestar Galactica: The Board Game,3,6,300,2008,7.75261,https://cf.geekdo-images.com/original/img/-hZFpTm-evjyuLD_bj-y845-4f8=/0x0/pic354500.jpg,10,"Bluffing, Deduction, Movies / TV / Radio theme, Political, Science Fiction, Space Exploration, Spies/Secret Agents",Corey Konieczka
Star Wars: X-Wing Miniatures Game,2,2,45,2012,7.81743,https://cf.geekdo-images.com/original/img/6GthoJMvWgSpxVoWF1TEbMtXWd4=/0x0/pic1603292.jpg,14,"Aviation / Flight, Bluffing, Collectible Components, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame",Jason Little
Dead of Winter: A Crossroads Game,2,5,120,2014,7.74899,https://cf.geekdo-images.com/original/img/pOYQOSR1CnXcN6pEPx3yFDjKFaA=/0x0/pic3016500.jpg,13,"Bluffing, Deduction, Horror, Zombies","Jonathan Gilmour, Isaac Vega"
Mombasa,2,4,150,2015,7.94952,https://cf.geekdo-images.com/original/img/7JDxzN4LbAeslZGBU1G7Ccqutx0=/0x0/pic2611318.jpg,12,Economic,Alexander Pfister
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1,8,120,1981,7.8228,https://cf.geekdo-images.com/original/img/e0abWKqZdzwxb0Keyxjf-Y5sZsw=/0x0/pic3514298.jpg,10,"Deduction, Murder/Mystery, Novel-based, Post-Napoleonic, Spies/Secret Agents","Raymond Edwards, Suzanne Goldberg, Gary Grady"
Troyes,2,4,90,2010,7.76852,https://cf.geekdo-images.com/original/img/jgHgQKbmvFx2xDL1MdtYB2-jRek=/0x0/pic750583.jpg,12,"Dice, Economic, Medieval","Sébastien Dujardin, Xavier Georges, Alain Orban"
The Gallerist,1,4,150,2015,8.02227,https://cf.geekdo-images.com/original/img/Ye9XSo3Ozz93R3ofXYHWfC_pMFg=/0x0/pic2503200.png,13,Economic,Vital Lacerda
Tigris & Euphrates,2,4,90,1997,7.71566,https://cf.geekdo-images.com/original/img/vd6LHDJ-u-TkAAWafD2yG9-U974=/0x0/pic2338267.jpg,12,"Ancient, Civilization, Territory Building",Reiner Knizia
Russian Railroads,2,4,120,2013,7.80207,https://cf.geekdo-images.com/original/img/QgRFOE3J6RK3ZfJk2qa3Xbgl0GY=/0x0/pic1772936.jpg,12,"Industry / Manufacturing, Trains","Helmut Ohley, Leonhard ""Lonny"" Orgler"
Trajan,2,4,120,2011,7.79486,https://cf.geekdo-images.com/original/img/cEaycXgp7DqVD2lORAUJ2IzgozU=/0x0/pic1054375.jpg,12,"Ancient, Political",Stefan Feld
Dominion,2,4,30,2008,7.66473,https://cf.geekdo-images.com/original/img/oN8CHUZ8CF6P1dFnhMCJXvE8SOk=/0x0/pic394356.jpg,13,"Card Game, Medieval",Donald X. Vaccarino
Pandemic,2,4,45,2008,7.65466,https://cf.geekdo-images.com/original/img/j-pfXZ_0GmOowohzD_T6NDAWGSA=/0x0/pic1534148.jpg,8,Medical,Matt Leacock
Santorini,2,4,20,2016,7.80081,https://cf.geekdo-images.com/original/img/2EnN8vsGamxMA1xNG5LcjVTxuiM=/0x0/pic3283110.png,8,"Abstract Strategy, Ancient, Mythology",Gord!
Crokinole,2,4,30,1876,7.79449,https://cf.geekdo-images.com/original/img/1x-Pt8mWg9fBlo5oB1aBxll6-3k=/0x0/pic79413.jpg,8,Action / Dexterity,(Uncredited)
Anachrony,1,4,120,2017,8.15566,https://cf.geekdo-images.com/original/img/HwoXcAIvX44tc_CDgcQ6I0Rztg8=/0x0/pic3499707.jpg,15,"Economic, Science Fiction","Richard Amann, Viktor Peter, Dávid Turczi"
Kemet,2,5,120,2012,7.76112,https://cf.geekdo-images.com/original/img/rjuKOHsH4_EayHV5jflH0LMpwqI=/0x0/pic3979527.jpg,13,"Ancient, Fighting, Miniatures, Mythology","Jacques Bariot, Guillaume Montiage"
Descent: Journeys in the Dark (Second Edition),2,5,120,2012,7.75571,https://cf.geekdo-images.com/original/img/jGVm6aG5Ek-qxTIaWyzN67jjylc=/0x0/pic1180640.jpg,14,"Adventure, Exploration, Fantasy, Fighting, Miniatures","Daniel Clark (I), Corey Konieczka, Adam Sadler, Kevin Wilson"
Stone Age,2,4,90,2008,7.61731,https://cf.geekdo-images.com/original/img/Dt2tBgnvuWww89kSQqOW0vvEJr4=/0x0/pic1632539.jpg,10,"Dice, Prehistoric",Bernd Brunnhofer
Alchemists,2,4,120,2014,7.72844,https://cf.geekdo-images.com/original/img/VKBFHqR2xm0EFGWfb1sPJZctMCs=/0x0/pic2241156.png,13,"Deduction, Fantasy",Matúš Kotry
Castles of Mad King Ludwig,1,4,90,2014,7.6656,https://cf.geekdo-images.com/original/img/fmSwPPkAioUPtMDVzmo48zHYvxI=/0x0/pic1961827.jpg,13,Post-Napoleonic,Ted Alspach
